
[00/00/0000 00:00:05] Ti:22.2 | Te:23.1 | H:72.6% | pH:11.55 L:0
[07/04/2026 01:46:59] Ti:23.0 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:47:04] Ti:23.0 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:47:09] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:47:14] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:47:19] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:47:29] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:47:35] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:47:41] Ti:23.1 | Te:23.5 | H:69.6% | pH:11.55 L:0
[07/04/2026 01:47:47] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:47:53] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:47:59] Ti:23.1 | Te:23.5 | H:69.6% | pH:11.55 L:0
[07/04/2026 01:48:04] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:48:09] Ti:23.1 | Te:23.5 | H:69.6% | pH:11.55 L:0
[07/04/2026 01:48:14] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:48:19] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:48:24] Ti:23.1 | Te:23.5 | H:69.6% | pH:11.55 L:0
[07/04/2026 01:48:33] Ti:23.1 | Te:23.5 | H:69.6% | pH:11.55 L:0
[07/04/2026 01:48:39] Ti:23.1 | Te:23.4 | H:69.6% | pH:11.55 L:0
[07/04/2026 01:48:45] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:48:51] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:48:57] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:49:03] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:49:08] Ti:23.1 | Te:23.4 | H:69.6% | pH:11.55 L:0
[07/04/2026 01:49:13] Ti:23.1 | Te:23.5 | H:69.6% | pH:11.55 L:0
[07/04/2026 01:49:18] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:49:23] Ti:23.1 | Te:23.5 | H:69.6% | pH:11.55 L:0
[07/04/2026 01:49:28] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:49:37] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:49:43] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:49:49] Ti:23.0 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:49:55] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:50:01] Ti:23.1 | Te:23.4 | H:69.6% | pH:11.55 L:0
[07/04/2026 01:50:07] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:50:12] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:50:17] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:50:22] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:50:27] Ti:23.0 | Te:23.5 | H:69.6% | pH:11.55 L:0
[07/04/2026 01:50:32] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:50:41] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:50:47] Ti:23.0 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:50:53] Ti:23.1 | Te:23.5 | H:69.6% | pH:11.55 L:0
[07/04/2026 01:50:59] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:51:05] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:51:11] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:51:16] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:51:21] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:51:26] Ti:23.1 | Te:23.5 | H:69.6% | pH:11.55 L:0
[07/04/2026 01:51:31] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:51:36] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:51:45] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:51:51] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:51:57] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:52:03] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:52:09] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:52:15] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:52:20] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:52:25] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:52:30] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:52:35] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:52:40] Ti:23.1 | Te:23.5 | H:69.6% | pH:11.55 L:0
[07/04/2026 01:52:45] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:52:55] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:53:01] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:53:07] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:53:13] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:53:19] Ti:23.0 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:53:24] Ti:23.0 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:53:29] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:53:34] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:53:39] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:53:44] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:53:49] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:53:59] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:54:05] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:54:11] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:54:17] Ti:23.0 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:54:23] Ti:23.0 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:54:28] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:54:33] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:54:38] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:54:43] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:54:48] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:54:53] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:55:03] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:55:09] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:55:15] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:55:21] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:55:27] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:55:32] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:55:37] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:55:42] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:55:47] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:55:52] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:55:57] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:56:07] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:56:13] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:56:19] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:56:25] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:56:31] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:56:37] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:56:42] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:56:47] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:56:52] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:56:57] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:57:02] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:57:11] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:57:17] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:57:23] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:57:29] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:57:35] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:57:41] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:57:46] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:57:51] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:57:56] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:58:01] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:58:06] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:58:15] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:58:21] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:58:27] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:58:33] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:58:39] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:58:45] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:58:50] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:58:55] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:59:00] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:59:05] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:59:10] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:59:19] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:59:25] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:59:31] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 01:59:37] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:59:43] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:59:49] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:59:54] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:59:59] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:60:04] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:60:09] Ti:23.1 | Te:23.5 | H:69.5% | pH:11.55 L:0
[07/04/2026 01:60:14] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 01:60:19] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:00:29] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:00:35] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:00:41] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:00:47] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:00:53] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:00:58] Ti:23.1 | Te:23.5 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:01:03] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:01:08] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:01:13] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:01:18] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:01:23] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:01:33] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:01:39] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:01:45] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:01:51] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:01:57] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:02:02] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:02:07] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:02:12] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:02:17] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:02:22] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:02:27] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:02:37] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:02:43] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:02:49] Ti:23.1 | Te:23.5 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:02:55] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:03:01] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:03:06] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:03:11] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:03:16] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:03:21] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:03:26] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:03:31] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:03:41] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:03:47] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:03:53] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:03:59] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:04:05] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:04:11] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:04:16] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:04:21] Ti:23.1 | Te:23.4 | H:69.5% | pH:11.55 L:0
[07/04/2026 02:04:26] Ti:23.1 | Te:23.5 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:04:31] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:04:36] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:04:45] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:04:51] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:04:57] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:05:03] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:05:09] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:05:15] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:05:20] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:05:25] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:05:30] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:05:35] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:05:40] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:05:49] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:05:55] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:06:01] Ti:23.2 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:06:07] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:06:13] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:06:19] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:06:24] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:06:29] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:06:34] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:06:39] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:06:44] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:06:53] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:06:59] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:07:05] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:07:11] Ti:23.1 | Te:23.5 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:07:17] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:07:23] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:07:28] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:07:33] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:07:38] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:07:43] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:07:48] Ti:23.2 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:07:53] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:08:03] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:08:09] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:08:15] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:08:21] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:08:27] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:08:32] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:08:37] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:08:42] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:08:47] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:08:52] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:08:57] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:09:07] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:09:13] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:09:19] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:09:25] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:09:31] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:09:36] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:09:41] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:09:46] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:09:51] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:09:56] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:10:01] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:10:11] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:10:17] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:10:23] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:10:29] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:10:35] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:10:40] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:10:45] Ti:23.1 | Te:23.5 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:10:50] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:10:55] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:11:00] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:11:05] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:11:15] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:11:21] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:11:27] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:11:33] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:11:39] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:11:45] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:11:50] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:11:55] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:12:00] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:12:05] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:12:10] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:12:19] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:12:25] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:12:31] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:12:37] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:12:43] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:12:49] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:12:54] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:12:59] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:13:04] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:13:09] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:13:14] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:13:23] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:13:29] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:13:35] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:13:41] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:13:47] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:13:53] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:13:58] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:14:03] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:14:08] Ti:23.1 | Te:23.4 | H:69.3% | pH:11.55 L:0
[07/04/2026 02:14:13] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:14:18] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
[07/04/2026 02:14:27] Ti:23.1 | Te:23.4 | H:69.4% | pH:11.55 L:0
